4372,4023
5559,4949
5249,262
2762,1825
1602,4121
2029,5014
2628,4577
5135,4567
1494,4627
2515,4391
369,6298
3415,744
6027,298
4175,4576
1935,3392
4913,6182
1152,4089
4358,1993
5486,1453
1011,74
67,4042
2216,4345
1761,3118
1173,1126
4181,1070
560,3502
512,710
773,4070
3801,2966
4080,1284
5879,2028
2315,901
2855,4464
586,1433
3355,1460
3371,541
1709,977
5050,5461
5242,2585
2995,2675
88,3205
463,3035
4929,933
3218,344
3411,1634
3484,6274
4980,1263
1318,118
4371,3108
1902,512
2715,2780
231,3278
3481,2734
3904,2668
2601,3071
3570,3332
591,6154
2575,287
4551,1458
1705,3701
214,6255
2236,4669
2727,4393
5921,1463
6111,5408
5216,2373
2585,6246
5464,2156
651,4279
688,1631
4392,1363
2434,159
2888,3468
1300,4466
3151,5150
53,221
2296,1353
6089,2895
3739,5371
4637,3081
1866,4493
2110,2428
1396,5491
1307,3030
3106,3613
4149,2953
2605,1879
18,3916
599,3050
5304,3427
2632,1551
6149,236
4937,1535
1539,4009
3607,5718
4466,3446
4724,4259
2339,5755
2098,1069
2241,5842
1332,1844
2366,2543
2015,1774
1457,4048
4830,1648
3985,5918
3085,6285
4089,788
1554,921
3389,1992
4599,5193
158,158
3506,5702
1164,1318
2999,6070
2528,6183
4087,580
4792,4257
1532,4696
4543,4642
2211,1576
1088,5840
2261,3907
1356,2250
2469,2514
1212,805
4261,5412
1131,4667
4295,2568
1486,2357
2383,4588
5378,5500
4838,4896
3600,3824
1729,2570
1625,1891
985,830
5061,1530
4267,6261
3135,3744
5908,4691
6198,5774
2356,1455
15,5599
2397,1456
3320,4580
1436,1803
3776,2169
343,2573
654,838
448,5443
1936,847
1848,5633
59,1876
1513,2742
5885,3491
1264,3939
3101,1036
5995,3197
5112,5857
2599,1812
5564,4718
1279,1009
1887,656
3038,1982
5871,4950
435,5696
5386,1615
4900,2667
5051,5086
1293,638
2424,539
1819,5034
5137,1129
1762,514
1953,1336
4881,4734
143,1572
1954,3522
5182,5157
218,500
1221,3667
2338,1745
3378,404
3961,1941
5113,1135
339,1320
480,1464
5638,4800
2549,6286
4121,1529
1840,1396
996,400
3913,4132
2902,5399
4740,5252
4817,4582
75,2977
935,5447
1874,3166
5925,6004
1654,4306
1859,5839
2438,3004
6032,4400
54,4871
2847,974
2924,3950
1517,5602
3501,128
2456,1593
6201,4008
5612,3705
134,3043
2122,620
1500,4323
954,4743
3217,1714
6010,3714
1907,5940
3919,223
762,16
1881,2860
4316,2556
3539,2823
5630,2786
147,2078
2838,1290
1724,6002
184,4661
1009,2157
238,6221
2027,370
97,5361
1616,2574
1365,4689
3157,4347
2130,1995
1316,2135
6197,5613
2842,2992
1704,4106
1252,185
1551,706
2850,2649
5648,2518
3353,5691
3923,4116
1024,2369
4331,740
2243,2408
5177,4672
5573,3849
1858,2717
3181,2788
5809,5638
293,5070
2321,2127
1023,476
2106,5689
3658,1278
1123,4307
960,153
130,673
6199,4888
3327,6024
5381,5109
264,2444
5910,6203
4252,730
5119,3775
6269,3823
3679,2739
2559,3226
1665,6038
5018,897
146,37
265,1899
5125,5184
888,880
5356,6248
910,5824
6145,1759
2570,4961
4326,4045
5640,475
4015,3679
2401,4752
3194,136
1321,6272
3952,1663
4615,6168
2918,705
1466,2290
5626,3569
4780,4283
846,4344
713,1722
297,4907
3978,6025
3810,5119
5698,5141
2957,1299
4918,5098
2043,5023
159,2358
1623,5502
567,2710
757,474
1018,5882
2711,2835
3794,3912
2561,6199
5527,1660
1938,4849
3450,5088
4310,6284
385,6013
734,1068
3043,166
1679,3810
6240,4586
1104,1968
263,5561
4904,2648
4824,1560
3460,693
120,996
5029,4201
3377,5220
5539,1641
2158,1854
1327,2188
4867,3858
4242,1400
1939,42
4406,4494
4987,1470
3971,1914
588,5149
2636,3949
